campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion
3916,20-24,M,15,7350,1,1.43,2
3917,20-24,M,16,17861,2,1.82,2
3920,20-24,M,20,693,0,0,1
3928,20-24,M,28,4259,1,1.25,1
3928,20-24,M,28,4133,1,1.29,1
3929,20-24,M,29,1915,0,0,1
3940,20-24,M,15,15615,3,4.77,1
3941,20-24,M,16,10951,1,1.27,1
3951,20-24,M,27,2355,1,1.5,1
3952,20-24,M,28,9502,3,3.16,1
3955,20-24,M,31,1224,0,0,1
3962,20-24,M,7,735,0,0,1
3965,20-24,M,16,5117,0,0,1
3965,20-24,M,16,5120,0,0,1
3968,20-24,M,20,14669,7,10.28,1
3976,20-24,M,28,1241,0,0,1
3978,20-24,M,30,2305,1,0.57,1
3979,20-24,M,31,1024,0,0,1
3988,25-29,M,15,4627,1,1.69,1
3989,25-29,M,16,21026,4,4.63,2
4012,25-29,M,15,1422,0,0,1
4012,25-29,M,15,7132,2,2.61,1
4013,25-29,M,16,12190,2,3.05,1
4013,25-29,M,16,12193,2,3.06,1
4013,25-29,M,16,3332,0,0,1
4034,25-29,M,7,559,0,0,1
4049,25-29,M,29,7440,2,2.98,1
4061,30-34,M,16,19113,4,5.52,1
4085,30-34,M,16,10976,2,1.69,1
4085,30-34,M,16,2861,0,0,1
4108,30-34,M,15,1398,0,0,1
4109,30-34,M,16,23817,7,8.47,1
4133,35-39,M,16,47224,12,15.82,1
4140,35-39,M,24,2283,1,1.47,1
4185,35-39,M,21,2182,1,1.53,1
4205,20-24,F,16,2654,0,0,1
4205,20-24,F,16,57665,14,18.07,1
4220,20-24,F,32,3091,1,1.61,1
4228,20-24,F,15,5014,1,1.19,1
4229,20-24,F,16,38726,7,9.22,1
4230,20-24,F,18,1473,0,0,1
4239,20-24,F,27,1186,0,0,1
4252,20-24,F,15,5369,1,1.51,1
4265,20-24,F,29,22221,7,9.43,1
4270,20-24,F,63,1185,0,0,1
4272,20-24,F,65,13019,5,6.96,1
4285,25-29,F,25,2508,1,1.22,1
4287,25-29,F,27,5864,2,2.8,1
4328,25-29,F,20,2783,1,1.6,1
4396,30-34,F,15,3812,1,1.13,2
4419,35-39,F,10,11199,4,5.73,1
4423,35-39,F,19,292,0,0,1
4438,35-39,F,63,17572,7,9.38,1
4467,35-39,F,10,1448,0,0,1
8654,20-24,M,10,1772,0,0,1
